bank,card,category,filename,url,local_path
AXIS,Axis Bank Ace Credit Card,LOUNGE,axis-bank-airport-lounge-access-program.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/axis-bank-airport-lounge-access-program.pdf?sfvrsn=843429b3_11,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Ace Credit Card\LOUNGE\axis-bank-airport-lounge-access-program.pdf
AXIS,Axis Bank Ace Credit Card,MISCELLANEOUS,axis-family-book-of-records.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/axis-family-book-of-records.pdf?sfvrsn=e7f5cc36_1,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Ace Credit Card\MISCELLANEOUS\axis-family-book-of-records.pdf
AXIS,Axis Bank Ace Credit Card,MISCELLANEOUS,board-note-guidelines---resolution-framework-2-0_new.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/board-note-guidelines---resolution-framework-2-0_new.pdf?sfvrsn=469fbe61_1,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Ace Credit Card\MISCELLANEOUS\board-note-guidelines---resolution-framework-2-0_new.pdf
AXIS,Axis Bank Ace Credit Card,MISCELLANEOUS,clm.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/clm.pdf?sfvrsn=ce127af1_1,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Ace Credit Card\MISCELLANEOUS\clm.pdf
AXIS,Axis Bank Ace Credit Card,MISCELLANEOUS,continuous-clearing-and-settlement-on-realization-in-cheque-truncation-system.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/continuous-clearing-and-settlement-on-realization-in-cheque-truncation-system.pdf?sfvrsn=6be07c0e_2,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Ace Credit Card\MISCELLANEOUS\continuous-clearing-and-settlement-on-realization-in-cheque-truncation-system.pdf
AXIS,Axis Bank Ace Credit Card,TERMS,terms-and-conditions-axis-bank-ace-credit-card.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/credit-cards/terms-and-conditions-axis-bank-ace-credit-card.pdf?sfvrsn=1109dfe1_2,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Ace Credit Card\TERMS\terms-and-conditions-axis-bank-ace-credit-card.pdf
AXIS,Axis Bank Ace Credit Card,MISCELLANEOUS,customer-education-literature-on-smairac-norms.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/customer-education-literature-on-smairac-norms.pdf?sfvrsn=662cba2b_5,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Ace Credit Card\MISCELLANEOUS\customer-education-literature-on-smairac-norms.pdf
AXIS,Axis Bank Ace Credit Card,MISCELLANEOUS,details-of-sebi-registration.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/details-of-sebi-registration.pdf?sfvrsn=2483b8c7_1,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Ace Credit Card\MISCELLANEOUS\details-of-sebi-registration.pdf
AXIS,Axis Bank Ace Credit Card,MISCELLANEOUS,positive-pay-system.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/positive-pay-system.pdf?sfvrsn=3faa4ed5_2,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Ace Credit Card\MISCELLANEOUS\positive-pay-system.pdf
AXIS,Axis Bank Ace Credit Card,MISCELLANEOUS,responsible-disclosure-policy.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/responsible-disclosure-policy.pdf?sfvrsn=3bf34b4d_2,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Ace Credit Card\MISCELLANEOUS\responsible-disclosure-policy.pdf
AXIS,Axis Bank Ace Credit Card,MISCELLANEOUS,sbb-products-rate-of-interest-disbursed.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/sbb-products-rate-of-interest-disbursed.pdf?sfvrsn=b37d6273_7,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Ace Credit Card\MISCELLANEOUS\sbb-products-rate-of-interest-disbursed.pdf
AXIS,Axis Bank Atlas Credit Card,MISCELLANEOUS,axis-family-book-of-records.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/axis-family-book-of-records.pdf?sfvrsn=e7f5cc36_1,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Atlas Credit Card\MISCELLANEOUS\axis-family-book-of-records.pdf
AXIS,Axis Bank Atlas Credit Card,MISCELLANEOUS,board-note-guidelines---resolution-framework-2-0_new.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/board-note-guidelines---resolution-framework-2-0_new.pdf?sfvrsn=469fbe61_1,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Atlas Credit Card\MISCELLANEOUS\board-note-guidelines---resolution-framework-2-0_new.pdf
AXIS,Axis Bank Atlas Credit Card,MISCELLANEOUS,clm.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/clm.pdf?sfvrsn=ce127af1_1,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Atlas Credit Card\MISCELLANEOUS\clm.pdf
AXIS,Axis Bank Atlas Credit Card,MISCELLANEOUS,continuous-clearing-and-settlement-on-realization-in-cheque-truncation-system.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/continuous-clearing-and-settlement-on-realization-in-cheque-truncation-system.pdf?sfvrsn=6be07c0e_2,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Atlas Credit Card\MISCELLANEOUS\continuous-clearing-and-settlement-on-realization-in-cheque-truncation-system.pdf
AXIS,Axis Bank Atlas Credit Card,TERMS,terms-and-conditions-atlas-credit-card.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/credit-cards/terms-and-conditions-atlas-credit-card.pdf?sfvrsn=59a8dacd_2,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Atlas Credit Card\TERMS\terms-and-conditions-atlas-credit-card.pdf
AXIS,Axis Bank Atlas Credit Card,TERMS,terms-and-conditions-of-features-of-axis-bank-atlas-credit-card.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/credit-cards/terms-and-conditions-of-features-of-axis-bank-atlas-credit-card.pdf?sfvrsn=8bde9bb5_6,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Atlas Credit Card\TERMS\terms-and-conditions-of-features-of-axis-bank-atlas-credit-card.pdf
AXIS,Axis Bank Atlas Credit Card,MISCELLANEOUS,customer-education-literature-on-smairac-norms.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/customer-education-literature-on-smairac-norms.pdf?sfvrsn=662cba2b_5,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Atlas Credit Card\MISCELLANEOUS\customer-education-literature-on-smairac-norms.pdf
AXIS,Axis Bank Atlas Credit Card,MISCELLANEOUS,details-of-sebi-registration.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/details-of-sebi-registration.pdf?sfvrsn=2483b8c7_1,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Atlas Credit Card\MISCELLANEOUS\details-of-sebi-registration.pdf
AXIS,Axis Bank Atlas Credit Card,MISCELLANEOUS,positive-pay-system.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/positive-pay-system.pdf?sfvrsn=3faa4ed5_2,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Atlas Credit Card\MISCELLANEOUS\positive-pay-system.pdf
AXIS,Axis Bank Atlas Credit Card,MISCELLANEOUS,sbb-products-rate-of-interest-disbursed.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/sbb-products-rate-of-interest-disbursed.pdf?sfvrsn=b37d6273_7,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Atlas Credit Card\MISCELLANEOUS\sbb-products-rate-of-interest-disbursed.pdf
AXIS,Axis Bank Aura Credit Card,MISCELLANEOUS,axis-family-book-of-records.pdf,https://www.axis.bank.in/docs/default-source/default-document-library/axis-family-book-of-records.pdf?sfvrsn=e7f5cc36_1,C:\Users\potda\Namura\CreditCardDataMaker_Final\per_card_data\AXIS\Axis Bank Aura Credit Card\MISCELLANEOUS\axis-family-book-of-records.pdf
